"Source","Target","Weight"
0,7,186.679436932224
0,13,317.356243576499
0,15,317.356243576499
0,29,317.356243576499
0,30,317.356243576499
0,51,317.356243576499
0,88,13.9005281667448
0,136,317.356243576499
1,2,170.566282846702
1,4,19.0725522496124
1,10,317.356243576499
1,11,197.8536229783
1,12,140.959456291229
1,14,317.356243576499
1,22,93.8523227045401
1,32,72.7023541600249
1,47,168.78426507772
1,52,317.356243576499
1,59,317.356243576499
1,61,317.356243576499
1,63,150.967470395631
1,65,65.0986377522742
1,72,317.356243576499
1,75,317.356243576499
1,91,2.07576155577583
1,92,60.5357204655636
1,104,16.5191937208996
1,108,21.1189672746768
1,115,14.8754897139163
1,137,45.0548941147197
2,12,103.523955575772
2,19,2.81462513683642
2,47,317.356243576499
2,56,20.3306423048676
2,57,20.3647125639787
2,58,20.3115015029787
2,63,84.9985885366495
2,65,14.9002092127227
2,72,317.356243576499
2,75,110.422728700585
2,108,34.1735840284842
2,114,25.3180908152129
2,117,5.53532773828032
2,123,2.39416852531895
2,130,31.7339934082877
2,132,8.09540080127778
2,142,210.816039305267
3,23,32.0625444625888
3,36,4.12000303012632
3,37,10.0944533307834
3,43,75.2369076092308
3,46,34.4892970127097
3,55,4.63489355789954
3,67,317.356243576499
3,68,2.03401612630626
3,76,8.4088489235133
3,80,2.39531914177534
3,84,5.77198521670298
3,106,73.2284238773312
3,169,8.30920989355234
3,171,4.10528910525706
4,5,317.356243576499
4,10,93.516289666197
4,14,41.410930074241
4,19,35.2322526926263
4,32,4.64684329031889
4,33,162.347883328159
4,34,162.347883328159
4,38,94.6260929004959
4,48,317.356243576499
4,49,255.51702454818
4,66,294.462894530751
4,75,95.5467749791406
4,77,193.987591292525
4,92,2.22621433160491
4,100,2.18202540546443
4,104,2.45351493558759
4,108,6.93556959724939
4,115,40.2325892599286
5,14,204.834537037328
5,19,9.56523463532899
5,31,317.356243576499
5,33,87.3068512230358
5,34,87.3068512230358
5,44,3.95936604203201
5,48,317.356243576499
5,49,37.655699529366
5,52,2.82954290253626
5,59,24.3142159045559
5,64,5.2970407897915
5,66,317.356243576499
5,75,317.356243576499
5,77,317.356243576499
5,89,13.1555105260237
5,92,16.1226976689967
5,104,175.900266647884
5,166,268.30917999337
6,8,317.356243576499
6,17,26.8123403799409
6,20,317.356243576499
6,23,317.356243576499
6,24,13.9245618517052
6,27,317.356243576499
6,53,149.256587296233
6,60,317.356243576499
6,74,289.816822726936
6,101,19.0187033256056
6,124,58.1750315641368
6,154,222.432922426909
6,158,317.356243576499
6,170,25.6531416971736
6,174,317.356243576499
7,9,317.356243576499
7,13,317.356243576499
7,33,198.419126992769
7,34,198.419126992769
7,37,34.1582297860156
7,46,2.90388944060621
7,67,2.33152388030109
7,88,317.356243576499
7,106,75.8934832015866
7,136,317.356243576499
8,17,317.356243576499
8,20,317.356243576499
8,21,38.723547381802
8,23,56.6421805123396
8,24,317.356243576499
8,45,317.356243576499
8,53,317.356243576499
8,60,254.406545338336
8,74,121.409357163405
8,101,40.0507971066068
8,154,223.117982886897
8,158,317.356243576499
8,170,317.356243576499
8,172,164.566090868638
8,174,254.105243709831
9,36,23.5638946570096
9,37,317.356243576499
9,88,317.356243576499
9,129,317.356243576499
9,135,317.356243576499
9,136,317.356243576499
9,140,317.356243576499
9,144,317.356243576499
9,171,23.6953381214347
10,11,317.356243576499
10,22,9.17040271439552
10,48,4.5082624627698
10,49,222.066394713992
10,52,317.356243576499
10,59,46.8237058353292
10,61,24.183098169245
10,64,53.7504065998209
10,75,7.91972988138976
10,77,2.41454363933483
10,92,4.51722865047808
10,108,22.9777162849593
10,115,67.2599796057616
11,12,317.356243576499
11,22,149.946141055577
11,32,181.692036392959
11,44,317.356243576499
11,48,317.356243576499
11,52,317.356243576499
11,59,37.7373487458984
11,61,317.356243576499
11,62,317.356243576499
11,64,317.356243576499
11,65,103.504319560797
11,91,148.683013922083
11,92,3.4692723971006
11,108,83.2182630553416
11,161,35.2435693891264
11,165,317.356243576499
11,167,10.3826142783813
12,22,41.6133212516471
12,31,2.83467512371617
12,32,158.410257148933
12,44,191.113195397782
12,52,85.8021036227281
12,59,274.613277828745
12,61,43.8262547685502
12,62,118.940623395634
12,64,317.356243576499
12,65,317.356243576499
12,75,17.7136961519177
12,91,317.356243576499
12,104,54.3137606694868
13,29,317.356243576499
13,32,317.356243576499
13,33,317.356243576499
13,34,317.356243576499
13,38,317.356243576499
13,106,7.58396801905976
13,136,317.356243576499
13,161,22.1365035814157
13,162,306.624675196382
13,165,31.8080039679563
13,166,25.3748863008819
13,167,220.094445564105
14,19,19.9341471718981
14,25,82.558315242651
14,31,45.6181742625002
14,33,317.356243576499
14,34,317.356243576499
14,39,2.57140920161245
14,40,2.57140920161245
14,48,15.0837202454207
14,49,141.124070399408
14,66,149.478686099633
14,72,35.1630257587529
14,75,61.8474692564108
14,77,26.3535521356958
14,78,317.356243576499
14,79,317.356243576499
14,82,217.669934033547
14,83,317.356243576499
14,86,140.981477853284
14,89,181.159879854205
14,94,6.46212877030039
14,95,9.78467957923777
14,97,21.1092420765127
14,105,21.7742705975407
14,127,138.749252430724
14,139,25.4306197280141
14,146,4.56944343524749
14,149,3.53640043089764
14,153,245.106702732423
14,157,2.46811982079353
15,29,55.3512827457764
15,30,317.356243576499
15,51,317.356243576499
15,55,62.9914571121727
15,81,317.356243576499
